date,time,place,latitude,longitude,depth,magnitude,sindo
2020/12/28,00:28:24.8,栃木県南部,36°25.3′N,139°29.1′E,6 km,3.5,2
2020/12/27,23:16:22.0,奄美大島近海,28°17.5′N,129°27.2′E,32 km,3.0,1
2020/12/27,20:38:51.0,三宅島近海,34°04.8′N,139°23.2′E,13 km,2.8,1
2020/12/27,12:53:04.3,長野県南部,35°55.7′N,137°40.1′E,7 km,2.6,1
2020/12/27,04:09:00.1,茨城県沖,36°32.1′N,140°54.4′E,48 km,3.2,1
2020/12/26,18:25:32.2,岐阜県美濃中西部,35°26.1′N,136°41.3′E,9 km,2.3,1
2020/12/26,06:32:32.2,岩手県沿岸北部,39°41.0′N,141°52.2′E,21 km,4.0,2
2020/12/26,00:13:15.7,渡島地方東部,41°59.0′N,140°31.9′E,14 km,2.5,1
2020/12/25,23:21:57.6,鹿児島湾,31°29.9′N,130°34.2′E,5 km,2.6,1
2020/12/25,13:12:13.8,熊本県天草・芦北地方,32°38.8′N,130°39.4′E,11 km,2.1,1
2020/12/25,06:27:25.6,宮城県北部,38°47.4′N,141°28.3′E,101 km,4.1,2
2020/12/25,05:38:30.5,種子島近海,30°49.9′N,130°30.5′E,105 km,4.4,2
2020/12/25,05:35:06.6,長野県中部,36°14.0′N,137°38.9′E,4 km,3.3,1
2020/12/25,04:40:06.4,茨城県沖,36°36.3′N,141°00.8′E,45 km,3.9,2
2020/12/24,21:58:33.2,岐阜県美濃中西部,35°49.6′N,136°54.4′E,12 km,2.8,1
2020/12/24,08:11:42.2,豊後水道,33°12.9′N,132°22.9′E,37 km,3.2,2
2020/12/24,03:18:13.9,京都府南部,35°06.9′N,135°41.8′E,12 km,3.0,2
2020/12/24,02:55:53.4,奈良県,34°15.2′N,136°07.4′E,28 km,3.6,3
2020/12/23,22:30:17.5,長野県北部,36°40.5′N,138°08.5′E,1 km,1.7,1
2020/12/23,22:08:37.2,宮城県沖,38°53.3′N,142°29.6′E,45 km,3.8,1
2020/12/23,09:02:56.6,茨城県沖,36°36.9′N,141°00.8′E,45 km,3.5,1
2020/12/23,06:34:45.4,新島・神津島近海,34°30.3′N,139°17.1′E,8 km,1.9,1
2020/12/23,03:24:35.0,奄美大島北西沖,29°23.6′N,128°38.4′E,24 km,4.8,1
2020/12/23,02:58:48.4,福島県沖,37°11.7′N,141°19.9′E,9 km,3.8,1
2020/12/23,02:04:04.8,福島県沖,37°11.0′N,141°19.1′E,8 km,4.6,1
